Λούκης, Γιώργος  Ιωάννης 
Γκότσης, Εμμανουήλ 
Giannikis, Dimitrios 
Συκινιώτης, Ασυνέθ 
Συνανίδης, Θεόδωρος 
Καββαδά, Γεωργία 
Ντρίτσος, Γεώργιος Α. 
Στεργιόπουλος, Γεώργιος 
Στεφανάτος, Κωνσταντίνος 
Μουλίνος, Σπυρίδων Κ. 
Σακελλάκης, Μηνάς Ι. 
Σπανοπούλου, Σταματία Αθ. 
Καλάκος, Νικόλαος Α. 
Πιτροπάκης, Νικόλαος 
Χριστοπούλου, Αικατερίνη 
Ανδρικοπούλου, Φωτεινή 
Λώλος, Κωνσταντίνος Γ. 
Αφιοντζή, Ελένη 
Αζά, Θεογνωσία 
Παπαδόπουλος, Χρίστος 
Μπατιστάτος, Γεώργιος 
Κουκούση, Μαρία Ιωάν. 
Νικολαϊδης, Σταύρος Χ. 
Βασιλάκος, Ξενοφών 
Ασουρματζιάν, Ναταλία 
Sofias, Yannis 
Σαμαρτζής, Παναγιώτης Γ. 
Μπαλάσης, Ανδρέας 
Κωστάκος, Μιχάλης 
Φραγκουλόπουλος, Μάρκος 
Χατζάτογλου, Βασίλης Σ. 
Μανδάλης, Κωνσταντίνος 
Antonakopoulos, Panos 
Δασκαλάκης, Γεώργιος Δ. 
Γραμματικάκης, ΙωάννηςΣούρτζης, Γεώργιος
Ράλλης, Απόστολος 
Χριστοδουλόπουλος, Χ. 
Παράσχος, Γιάννης 
Μπακοπούλου, Παναγιώτα Κ. 
Κουταλάς, Μανόλης 
Δεμερτζή, Εκάβη Ι. 
Κισσάνη, Δέσποινα 
Μπάρλος, Αντώνιος 
Παρτσακουλάκης, Γιώργος 
Φεργάδης, ΘεόδωροςΧαμηλοθώρης, Νικόλαος
Μαρέτη, Δέσποινα 
Νικολάρας, Κωνσταντίνος Ι. 
Αρχιμανδρίτη, ΙωάνναΠαπαδημητρίου, Γεώργιος
Βλάχου, ΒασιλικήΒεργύρης, Γεώργιος
Καταραχιά, Ανδρονίκη 
Καλαντζής, Ανδρέας 
Κονταξή, Μυρτώ 
Καραβίδα, Ειρήνη Π. 
Βενάρδος, Μανώλης Π.Σοφράς, Χρήστος Ε.
Στυμπίρης, Δημήτριος 
Καβαλλάρης, Παρασκευάς 
Μαλίμογλου, Χαράλαμπος Μ. 
Ασημάκη, Γεωργία 
Ραπτάκης, Ιωάννης 
Πετροπούλου, Φωτεινή Φ. 
Πολυδώρου, Ελένη 
Σπέντζου, Βασιλική 
Κοκκαλάκης, Δημήτρης 
Μαχαίρας, Παναγιώτης 
Ρίνης, Χρήστος 
Μανωλόπουλος, Αθανάσιος 
Παπαγεωργίου, Αλεξάνδρα 
Δρίτσας, Στυλιανός 
Μαστοραντωνάκης, Μιχαήλ 
Μαλατράς, Απόστολος 
Βασιλείου, Θεώνη 
Μητσιώνης, Απόστολος 
Γιαλαμάς, Γεώργιος 
Διονυσοπούλου, Ελένη 
Ξανθούλης, Παντελεήμων 
Μιχαλόπουλος, Διονύσιος 
Γρηγορόπουλος, Παναγιώτης 
Κατσαμάγκου, Αρετή-Μαρία 
Γκιάτη, Ευτυχία 
Παπαδόπουλος, Αθανάσιος 
Τσαρούχης, Στράτος 
Στυλπνόπουλος, Γιάννης 
Διαμαντάρας, Μάριος 
Τσούρας, Ιωάννης Σ. 
Γκόνου, Μαρίτσα Ευαγ. 
