Λιούλιος, Αλέξανδρος Δ.
Asimakopoulos, Panagiotis
Tagaraki, Theano-Maria
Zaverdas, Dimitrios
Valaskas, Konstantinos
Chountas, Konstantinos
Kanigaridis, Nikolaos
Saperas, Sotirios
Papantonis,  Ioannis
Τσομίδης, Γεώργιος
Avgeri, Ioanna
Slabchenko, Anastasia
Chatzilena, Anastasia
Tsangaris, Spyridon
Moustakas, Alexandros
Vidali, Maria E.
Elias, Nikolaos A.
Liontos, George
Dimas, Athanasios
Giakas, Konstantinos
Makri, Galateia
Paravalos, Evaggelos
Karadima, Maria
Smyrnakis, Dimitris
Sarri, Danai
Giannoulakis, Stylianos
Bertsatos, Georgios
Christou, Tryfonas
Roumpanis, Eleftherios Theodoros
Benetatou, Kalliopi
Sachtachtinskagia, Sabina
Dimakopoulou, Vasiliki-Eirini
Papadopoulos, Alecos
Stavrakas, Michael
Kyrkopoulou, Eleni
Lamprinidis, Andreas
Chatzigiatroudakis, Ioannis
Tasiopoulos, Anastasios
Metsiou, Eleni Ch.
Gogos, Stylianos G.
Bageri, Vasiliki
Tsoukalas, Konstantinos
Koliousi, Panagiota
Varthalitis, Petros
Iosifidi, Maria
Emmanouilidi, Elpianna
Vidali, Maria
Νάσης, Μαρτίνος
Doundoulaki, Maria
Smponias, Fotis
Κατσαβού, Λήδα
Ίλτσιος, Φιλοκτήμων
Αντύπα, Ερικέτη
Δρούκας, Νικόλαος
Argyropoulos, Efthymios
Σταυροπούλου, Δέσποινα
Δοντά, Ελπινίκη
Τσάγγαρης, Ηρακλής
Κατσαρού, Μαριάννα
Kazanas, Thanassis
Kourandi, Frago
Πέππας, Κωνσταντίνος Σ.
Papageorgiou, Dimitris
Μακαντάση, Ευμορφία
Κότσεβα, Ροσίτσα
Αντωνόπουλος, Χρήστος
Παναγιώτης, Φώτης Ν.
Μητσόπουλος, Γεώργιος Π.
Μαγουλά, Θεοχαρούλα
